Date,high,low,open,close,kdjk,kdjd,rsi_6,rsi_12,macd,cci,wr_10,wma10,Point
2004/10/4,0.99891001,0.979642987,0.994463027,0.982607007,11.38960551,25.60578898,39.46121521,46.2337297,0.001490882,-81.67127389,96.96980038,0.996888675,0
2004/10/5,0.99891001,0.979642987,0.994463027,0.982607007,8.603136884,19.93823828,39.46121521,46.2337297,0.000181339,-85.58796135,96.96980038,0.992226931,0
2004/10/6,0.99891001,0.979642987,0.994463027,0.982607007,6.745491131,15.5406559,39.46121521,46.2337297,-0.000846722,-77.72535023,96.96980038,0.988723877,0
2004/10/7,0.99891001,0.979642987,0.994463027,0.982607007,6.012109595,12.3644738,39.46121521,46.2337297,-0.001642534,-67.49942899,96.96980038,0.985732806,0
2004/10/8,0.985571027,0.955929995,0.982607007,0.984089017,19.84142986,14.85679248,41.60175228,46.78008314,-0.002129092,-94.08731675,68.33324396,0.984412409,1
2004/10/11,0.985571027,0.960376024,0.985571027,0.970749974,22.23628226,17.31662241,30.10485981,42.53601194,-0.003550118,-99.75169909,75.0009049,0.981367349,0
2004/10/12,0.966304004,0.933699012,0.966304004,0.935181022,15.58173416,16.73832632,15.97673473,33.65429148,-0.00746041,-177.6991079,98.07698554,0.972448042,0
2004/10/13,0.951484025,0.933699012,0.933699012,0.948518991,17.96322166,17.14662477,30.6267997,38.87540947,-0.009375012,-179.3248665,77.27380333,0.96711253,0
2004/10/14,0.952965975,0.933699012,0.948518991,0.941109002,15.76318055,16.6854767,27.43751098,37.10567756,-0.01135933,-145.5222482,88.63690167,0.961238148,0
2004/10/15,0.938144982,0.917396009,0.933699012,0.929252982,15.35743186,16.24279509,22.86577903,34.37433214,-0.013730322,-156.3665244,85.45406551,0.953962635,0
2004/10/18,0.941109002,0.917396009,0.926288009,0.929252982,15.08693274,15.85750764,22.86577903,34.37433214,-0.015431467,-119.993881,85.45406551,0.947657195,0
2004/10/19,0.952965975,0.926288009,0.933699012,0.927770972,14.30056509,15.33852679,22.19994999,34.00200041,-0.016706638,-83.36302091,87.27217022,0.942052372,0
2004/10/20,0.932217002,0.884791017,0.929252982,0.895165026,12.96494925,14.54733427,12.55097545,26.98626983,-0.020116359,-142.5638404,90.90948026,0.931516214,0
2004/10/21,0.895165026,0.837364972,0.893683016,0.843293011,9.976587251,13.02375193,6.859397456,19.87073873,-0.026696485,-207.8136178,96.00013674,0.913138635,0
2004/10/22,0.859596014,0.834401011,0.840328991,0.855148971,11.89429518,12.64726635,17.16247935,24.81378685,-0.030601847,-182.3298402,86.27508268,0.899449666,0
2004/10/25,0.867006004,0.837364972,0.861078024,0.837364972,8.762817372,11.35245002,14.31263213,22.53862454,-0.034731531,-148.3450886,97.75292424,0.884871607,-1
2004/10/26,0.871451974,0.835883021,0.838846982,0.868488014,15.42509219,12.70999741,36.46758253,34.07819383,-0.035088487,-101.6989717,71.25035819,0.878377466,0
2004/10/27,0.883309007,0.859596014,0.869970024,0.880344987,23.20007612,16.20669031,43.18344674,37.92167488,-0.03402243,-62.72679151,61.24995601,0.875251738,0
2004/10/28,0.892201006,0.868488014,0.883309007,0.869970024,25.46658336,19.29332133,38.86918994,35.9224446,-0.033627112,-49.3298714,70.00040217,0.87147918,0
2004/10/29,0.912949979,0.852185011,0.867006004,0.875898004,28.64417944,22.41027403,42.78819431,37.96111952,-0.032461288,-34.52557684,65.0006284,0.870077872,0
2004/11/1,0.881826997,0.853667021,0.875898004,0.859596014,27.68196959,24.16750589,35.31665209,34.65352746,-0.032478407,-55.94533338,78.75004399,0.866682657,0
2004/11/2,0.874415994,0.853667021,0.859596014,0.868488014,32.91993398,27.08498192,41.95131356,37.87452253,-0.031412362,-48.4865242,65.15191216,0.86617066,0
2004/11/3,0.883309007,0.867006004,0.874415994,0.875898004,39.5564412,31.24213501,47.3515332,40.53896946,-0.029628056,-18.42116558,47.17054437,0.868083805,0
2004/11/4,0.892201006,0.859596014,0.878862023,0.862559974,37.9093916,33.46455387,39.42860465,37.39008713,-0.028956456,-22.31328356,64.15107225,0.867922164,0
